Code,CountryCode,Latitude,Longitude,State
35648,US,34.959546,-87.381001,AL
35649,US,34.626401,-86.880448,AL
35650,US,34.43741,-87.330738,AL
35651,US,34.462974,-87.485234,AL
35652,US,34.849882,-87.308957,AL
35653,US,34.530886,-87.87473,AL
35654,US,34.495623,-87.624499,AL
35660,US,34.755718,-87.701004,AL
35661,US,34.768116,-87.576897,AL
35662,US,34.745002,-87.67774,AL
35670,US,34.465625,-86.728357,AL
35671,US,34.67451,-86.942362,AL
35672,US,34.644974,-87.409661,AL
35673,US,34.578169,-87.133004,AL
35674,US,34.659242,-87.754564,AL
35677,US,34.95871,-88.018188,AL
35699,US,34.606634,-86.982465,AL
35739,US,34.968454,-86.796826,AL
35740,US,34.951066,-85.759854,AL
35741,US,34.726044,-86.468402,AL
35742,US,34.771198,-86.786343,AL
35744,US,34.610807,-85.9074,AL
35745,US,34.946331,-86.188789,AL
35746,US,34.821312,-85.999768,AL
35747,US,34.492834,-86.310052,AL
35748,US,34.717171,-86.38306,AL
35749,US,34.822564,-86.755928,AL
35750,US,34.953213,-86.592466,AL
35751,US,34.804264,-86.269489,AL
35752,US,34.74394,-85.966842,AL
35754,US,34.51864,-86.611402,AL
35755,US,34.481698,-86.142481,AL
35756,US,34.643213,-86.823007,AL
35757,US,34.780688,-86.74544,AL
35758,US,34.712089,-86.746293,AL
35759,US,34.86841,-86.555781,AL
35760,US,34.544001,-86.396398,AL
35761,US,34.914284,-86.409143,AL
35762,US,34.771652,-86.593538,AL
35763,US,34.627769,-86.464835,AL
35764,US,34.706205,-86.318201,AL
35765,US,34.697794,-85.811696,AL
35766,US,34.871653,-86.265184,AL
35767,US,34.770036,-86.469931,AL
35768,US,34.763046,-86.101548,AL
35769,US,34.57596,-86.154911,AL
35771,US,34.531476,-86.001135,AL
35772,US,34.904504,-85.918032,AL
35773,US,34.896177,-86.713364,AL
35774,US,34.753378,-86.257579,AL
35775,US,34.548833,-86.698735,AL
35776,US,34.648407,-86.240876,AL
35801,US,34.722841,-86.552402,AL
35802,US,34.667204,-86.558895,AL
35803,US,34.569856,-86.526601,AL
35804,US,34.727757,-86.593019,AL
35805,US,34.708261,-86.622038,AL
35806,US,34.766099,-86.683356,AL
35807,US,34.719188,-86.629851,AL
35808,US,34.685732,-86.651597,AL
35809,US,34.719189,-86.629844,AL
35810,US,34.803053,-86.60436,AL
35811,US,34.800408,-86.50407,AL
35812,US,34.665136,-86.752305,AL
35813,US,34.665136,-86.752305,AL
35814,US,34.734218,-86.62717,AL
35815,US,34.646473,-86.56691,AL
35816,US,34.740909,-86.631327,AL
35824,US,34.646077,-86.752136,AL
35893,US,34.719884,-86.653609,AL
35894,US,34.664883,-86.750111,AL
35895,US,0,0,AL
35896,US,34.662603,-86.752317,AL
35897,US,34.720057,-86.615143,AL
35898,US,34.625908,-86.657864,AL
35899,US,34.735085,-86.631146,AL
35901,US,34.049583,-85.922669,AL
35902,US,34.014204,-86.008482,AL
35903,US,34.027824,-85.858415,AL
35904,US,34.077708,-85.982383,AL
35905,US,33.9326,-85.904264,AL
35906,US,33.931708,-86.094732,AL
35907,US,33.898235,-86.025109,AL
35950,US,34.251422,-86.261008,AL
35951,US,34.338294,-86.158361,AL
35952,US,34.056046,-86.30481,AL
35953,US,33.829433,-86.216554,AL
35954,US,34.084613,-86.061743,AL
35956,US,34.144958,-86.146329,AL
35957,US,34.190988,-86.197499,AL
35958,US,34.915601,-85.642356,AL
35959,US,34.245733,-85.613195,AL
35960,US,34.128609,-85.576347,AL
35961,US,34.276535,-85.865195,AL
35962,US,34.297241,-86.036342,AL
35963,US,34.360728,-85.929257,AL
35964,US,34.162315,-86.345644,AL
35966,US,34.801442,-85.702913,AL
35967,US,34.398552,-85.701381,AL
35968,US,34.483412,-85.7702,AL
35971,US,34.45556,-85.944192,AL
35972,US,33.993936,-86.242581,AL
35973,US,34.351532,-85.549326,AL
35974,US,34.365452,-86.019703,AL
35975,US,34.438055,-86.064124,AL
35976,US,34.309902,-86.401031,AL
35978,US,34.637355,-85.726967,AL
35979,US,34.822536,-85.610581,AL
35980,US,34.178051,-86.375927,AL
35981,US,34.719051,-85.642046,AL
35983,US,34.171788,-85.764841,AL
35984,US,34.543904,-85.566826,AL
35986,US,34.506185,-85.837924,AL
35987,US,33.921267,-86.253678,AL
35988,US,34.560711,-85.799628,AL
35989,US,34.615609,-85.623444,AL
35990,US,34.027504,-86.324385,AL
36003,US,32.45447,-86.726596,AL
36005,US,31.86228,-85.732186,AL
36006,US,32.636927,-86.721646,AL
36008,US,32.45966,-86.472866,AL
36009,US,31.573762,-86.29414,AL
36010,US,31.677063,-85.798242,AL
36013,US,32.303195,-85.983512,AL
36015,US,31.664104,-86.701423,AL
36016,US,31.867463,-85.418054,AL
36017,US,31.688711,-85.56362,AL
36020,US,32.496873,-86.319109,AL
36022,US,32.621516,-86.406109,AL
36023,US,0,0,AL
